"","invoice_id","Branch","City","category","unit_price","quantity","date","time","payment_method","rating","profit_margin","total_price"
"0","1","WALM003","San Antonio","Health and beauty","74.69","7","05/01/19","13:08:00","Ewallet","9.1","0.48","522.83"
"1","2","WALM048","Harlingen","Electronic accessories","15.28","5","08/03/19","10:29:00","Cash","9.6","0.48","76.4"
"2","3","WALM067","Haltom City","Home and lifestyle","46.33","7","03/03/19","13:23:00","Credit card","7.4","0.33","324.31"
"3","4","WALM064","Bedford","Health and beauty","58.22","8","27/01/19","20:33:00","Ewallet","8.4","0.33","465.76"
"4","5","WALM013","Irving","Sports and travel","86.31","7","08/02/19","10:37:00","Ewallet","5.3","0.48","604.17"
"5","6","WALM026","Denton","Electronic accessories","85.39","7","25/03/19","18:30:00","Ewallet","4.1","0.48","597.73"
"6","7","WALM088","Cleburne","Electronic accessories","68.84","6","25/02/19","14:36:00","Ewallet","5.8","0.33","413.04"
"7","8","WALM100","Canyon","Home and lifestyle","73.56","10","24/02/19","11:38:00","Ewallet","8","0.18","735.6"
"8","9","WALM066","Grapevine","Health and beauty","36.26","2","10/01/19","17:15:00","Credit card","7.2","0.33","72.52"
"9","10","WALM065","Texas City","Food and beverages","54.84","3","20/02/19","13:27:00","Credit card","5.9","0.33","164.52"
"10","11","WALM013","Irving","Fashion accessories","14.48","4","06/02/19","18:07:00","Ewallet","4.5","0.48","57.92"
"11","12","WALM035","San Angelo","Electronic accessories","25.51","4","09/03/19","17:03:00","Cash","6.8","0.48","102.04"
"12","13","WALM027","Abilene","Electronic accessories","46.95","5","12/02/19","10:25:00","Ewallet","7.1","0.48","234.75"
"13","14","WALM035","San Angelo","Food and beverages","43.19","10","07/02/19","16:48:00","Ewallet","8.2","0.48","431.9"
"14","15","WALM031","Lewisville","Health and beauty","71.38","10","29/03/19","19:21:00","Cash","5.7","0.48","713.8"
"15","16","WALM008","Corpus Christi","Sports and travel","93.72","6","15/01/19","16:19:00","Cash","4.5","0.48","562.32"
"16","17","WALM029","Round Rock","Health and beauty","68.93","7","11/03/19","11:03:00","Credit card","4.6","0.48","482.51"
"17","18","WALM061","Cedar Park","Sports and travel","72.61","6","01/01/19","10:39:00","Credit card","6.9","0.33","435.66"
"18","19","WALM053","Conroe","Food and beverages","54.67","3","21/01/19","18:00:00","Credit card","8.6","0.57","164.01"
"19","20","WALM013","Irving","Home and lifestyle","40.3","2","11/03/19","15:30:00","Ewallet","4.4","0.48","80.6"
"20","21","WALM044","Pharr","Electronic accessories","86.04","5","25/02/19","11:24:00","Ewallet","4.8","0.48","430.2"
"21","22","WALM088","Cleburne","Health and beauty","87.98","3","05/03/19","10:40:00","Ewallet","5.1","0.33","263.94"
